dataset,seed,corruption,severity,alpha,method,backbone,epochs,n_train,n_calib,n_aug_calib,n_test,n_classes,coverage,avg_set_size,singleton_rate,singleton_accuracy,empty_rate,top1_accuracy,ece
GunPoint,0,noise,0.1,0.05,fast_cp_mixed_confidence_only,fcn,20,32,18,180,150,2,0.9933333333333333,1.9066666666666667,0.09333333333333334,0.9285714285714286,0.0,0.49333333333333335,0.1773749307791392
GunPoint,0,noise,0.1,0.05,fast_cp_mixed,fcn,20,32,18,180,150,2,0.9933333333333333,1.9066666666666667,0.09333333333333334,0.9285714285714286,0.0,0.49333333333333335,0.1773749307791392
GunPoint,0,noise,0.2,0.05,clean_split_cp,fcn,20,32,18,180,150,2,1.0,1.92,0.08,1.0,0.0,0.49333333333333335,0.1725188680489858
GunPoint,0,noise,0.2,0.05,aug_split_cp,fcn,20,32,18,180,150,2,1.0,1.92,0.08,1.0,0.0,0.49333333333333335,0.1725188680489858
GunPoint,0,noise,0.2,0.05,fast_cp_mixed_confidence_only,fcn,20,32,18,180,150,2,1.0,1.92,0.08,1.0,0.0,0.49333333333333335,0.1725188680489858
GunPoint,0,noise,0.2,0.05,fast_cp_mixed,fcn,20,32,18,180,150,2,1.0,1.92,0.08,1.0,0.0,0.49333333333333335,0.1725188680489858
GunPoint,0,drift,0.1,0.05,clean_split_cp,fcn,20,32,18,180,150,2,0.9933333333333333,1.9066666666666667,0.09333333333333334,0.9285714285714286,0.0,0.49333333333333335,0.17998204549153649
GunPoint,0,drift,0.1,0.05,aug_split_cp,fcn,20,32,18,180,150,2,0.9933333333333333,1.9,0.1,0.9333333333333333,0.0,0.49333333333333335,0.17998204549153649
GunPoint,0,drift,0.1,0.05,fast_cp_mixed_confidence_only,fcn,20,32,18,180,150,2,0.9933333333333333,1.9,0.1,0.9333333333333333,0.0,0.49333333333333335,0.17998204549153649
GunPoint,0,drift,0.1,0.05,fast_cp_mixed,fcn,20,32,18,180,150,2,0.9933333333333333,1.9,0.1,0.9333333333333333,0.0,0.49333333333333335,0.17998204549153649
GunPoint,0,drift,0.2,0.05,clean_split_cp,fcn,20,32,18,180,150,2,0.9933333333333333,1.88,0.12,0.9444444444444444,0.0,0.49333333333333335,0.18637702306111653
GunPoint,0,drift,0.2,0.05,aug_split_cp,fcn,20,32,18,180,150,2,0.9933333333333333,1.8733333333333333,0.12666666666666668,0.9473684210526315,0.0,0.49333333333333335,0.18637702306111653
GunPoint,0,drift,0.2,0.05,fast_cp_mixed_confidence_only,fcn,20,32,18,180,150,2,0.9933333333333333,1.88,0.12,0.9444444444444444,0.0,0.49333333333333335,0.18637702306111653
GunPoint,0,drift,0.2,0.05,fast_cp_mixed,fcn,20,32,18,180,150,2,0.9933333333333333,1.8733333333333333,0.12666666666666668,0.9473684210526315,0.0,0.49333333333333335,0.18637702306111653
GunPoint,0,drift,0.4,0.05,clean_split_cp,fcn,20,32,18,180,150,2,0.98,1.8133333333333332,0.18666666666666668,0.8928571428571429,0.0,0.49333333333333335,0.17642985026041663
GunPoint,0,drift,0.4,0.05,aug_split_cp,fcn,20,32,18,180,150,2,0.98,1.8133333333333332,0.18666666666666668,0.8928571428571429,0.0,0.49333333333333335,0.17642985026041663
GunPoint,0,drift,0.4,0.05,fast_cp_mixed_confidence_only,fcn,20,32,18,180,150,2,0.98,1.8133333333333332,0.18666666666666668,0.8928571428571429,0.0,0.49333333333333335,0.17642985026041663
GunPoint,0,drift,0.4,0.05,fast_cp_mixed,fcn,20,32,18,180,150,2,0.9666666666666667,1.8,0.2,0.8333333333333334,0.0,0.49333333333333335,0.17642985026041663
GunPoint,1,gap,0.05,0.05,clean_split_cp,fcn,20,32,18,180,150,2,0.9466666666666667,1.8066666666666666,0.19333333333333333,0.7241379310344828,0.0,0.49333333333333335,0.14940960168838502
GunPoint,1,gap,0.05,0.05,aug_split_cp,fcn,20,32,18,180,150,2,0.9066666666666666,1.7533333333333334,0.24666666666666667,0.6216216216216216,0.0,0.49333333333333335,0.14940960168838502
GunPoint,1,gap,0.05,0.05,fast_cp_mixed_confidence_only,fcn,20,32,18,180,150,2,0.92,1.7666666666666666,0.23333333333333334,0.6571428571428571,0.0,0.49333333333333335,0.14940960168838502
GunPoint,1,gap,0.05,0.05,fast_cp_mixed,fcn,20,32,18,180,150,2,0.9066666666666666,1.7533333333333334,0.24666666666666667,0.6216216216216216,0.0,0.49333333333333335,0.14940960168838502
GunPoint,1,gap,0.1,0.05,clean_split_cp,fcn,20,32,18,180,150,2,0.9466666666666667,1.8,0.2,0.7333333333333333,0.0,0.49333333333333335,0.14902455647786458
GunPoint,1,gap,0.1,0.05,aug_split_cp,fcn,20,32,18,180,150,2,0.9066666666666666,1.76,0.24,0.6111111111111112,0.0,0.49333333333333335,0.14902455647786458
GunPoint,1,gap,0.1,0.05,fast_cp_mixed_confidence_only,fcn,20,32,18,180,150,2,0.9133333333333333,1.7666666666666666,0.23333333333333334,0.6285714285714286,0.0,0.49333333333333335,0.14902455647786458
GunPoint,1,gap,0.1,0.05,fast_cp_mixed,fcn,20,32,18,180,150,2,0.9133333333333333,1.7666666666666666,0.23333333333333334,0.6285714285714286,0.0,0.49333333333333335,0.14902455647786458
GunPoint,1,gap,0.2,0.05,clean_split_cp,fcn,20,32,18,180,150,2,0.9733333333333334,1.9133333333333333,0.08666666666666667,0.6923076923076923,0.0,0.49333333333333335,0.14891168355941772
GunPoint,1,gap,0.2,0.05,aug_split_cp,fcn,20,32,18,180,150,2,0.9333333333333333,1.8533333333333333,0.14666666666666667,0.5454545454545454,0.0,0.49333333333333335,0.14891168355941772
GunPoint,1,gap,0.2,0.05,fast_cp_mixed_confidence_only,fcn,20,32,18,180,150,2,0.94,1.86,0.14,0.5714285714285714,0.0,0.49333333333333335,0.14891168355941772
GunPoint,1,gap,0.2,0.05,fast_cp_mixed,fcn,20,32,18,180,150,2,0.9333333333333333,1.8533333333333333,0.14666666666666667,0.5454545454545454,0.0,0.49333333333333335,0.14891168355941772
GunPoint,1,noise,0.05,0.05,clean_split_cp,fcn,20,32,18,180,150,2,0.9533333333333334,1.8066666666666666,0.19333333333333333,0.7586206896551724,0.0,0.49333333333333335,0.1541967062155406
GunPoint,1,noise,0.05,0.05,aug_split_cp,fcn,20,32,18,180,150,2,0.9266666666666666,1.7733333333333334,0.22666666666666666,0.6764705882352942,0.0,0.49333333333333335,0.1541967062155406
GunPoint,1,noise,0.05,0.05,fast_cp_mixed_confidence_only,fcn,20,32,18,180,150,2,0.9466666666666667,1.7933333333333332,0.20666666666666667,0.7419354838709677,0.0,0.49333333333333335,0.1541967062155406
GunPoint,1,noise,0.05,0.05,fast_cp_mixed,fcn,20,32,18,180,150,2,0.9266666666666666,1.7733333333333334,0.22666666666666666,0.6764705882352942,0.0,0.49333333333333335,0.1541967062155406
GunPoint,1,noise,0.1,0.05,clean_split_cp,fcn,20,32,18,180,150,2,0.9866666666666667,1.8533333333333333,0.14666666666666667,0.9090909090909091,0.0,0.49333333333333335,0.15260641177495318
GunPoint,1,noise,0.1,0.05,aug_split_cp,fcn,20,32,18,180,150,2,0.9466666666666667,1.8,0.2,0.7333333333333333,0.0,0.49333333333333335,0.15260641177495318
GunPoint,1,noise,0.1,0.05,fast_cp_mixed_confidence_only,fcn,20,32,18,180,150,2,0.9533333333333334,1.8066666666666666,0.19333333333333333,0.7586206896551724,0.0,0.49333333333333335,0.15260641177495318
GunPoint,1,noise,0.1,0.05,fast_cp_mixed,fcn,20,32,18,180,150,2,0.9466666666666667,1.8,0.2,0.7333333333333333,0.0,0.49333333333333335,0.15260641177495318
GunPoint,1,noise,0.2,0.05,clean_split_cp,fcn,20,32,18,180,150,2,1.0,1.9666666666666666,0.03333333333333333,1.0,0.0,0.49333333333333335,0.18690050959587098
GunPoint,1,noise,0.2,0.05,aug_split_cp,fcn,20,32,18,180,150,2,0.9933333333333333,1.92,0.08,0.9166666666666666,0.0,0.49333333333333335,0.18690050959587098
GunPoint,1,noise,0.2,0.05,fast_cp_mixed_confidence_only,fcn,20,32,18,180,150,2,1.0,1.9266666666666667,0.07333333333333333,1.0,0.0,0.49333333333333335,0.18690050959587098
GunPoint,1,noise,0.2,0.05,fast_cp_mixed,fcn,20,32,18,180,150,2,0.9933333333333333,1.92,0.08,0.9166666666666666,0.0,0.49333333333333335,0.18690050959587098
GunPoint,1,drift,0.1,0.05,clean_split_cp,fcn,20,32,18,180,150,2,0.9533333333333334,1.8066666666666666,0.19333333333333333,0.7586206896551724,0.0,0.49333333333333335,0.1544027050336202
GunPoint,1,drift,0.1,0.05,aug_split_cp,fcn,20,32,18,180,150,2,0.9266666666666666,1.7733333333333334,0.22666666666666666,0.6764705882352942,0.0,0.49333333333333335,0.1544027050336202
GunPoint,1,drift,0.1,0.05,fast_cp_mixed_confidence_only,fcn,20,32,18,180,150,2,0.9266666666666666,1.7733333333333334,0.22666666666666666,0.6764705882352942,0.0,0.49333333333333335,0.1544027050336202
GunPoint,1,drift,0.1,0.05,fast_cp_mixed,fcn,20,32,18,180,150,2,0.9266666666666666,1.7733333333333334,0.22666666666666666,0.6764705882352942,0.0,0.49333333333333335,0.1544027050336202
