dataset,seed,corruption,severity,alpha,method,backbone,epochs,n_train,n_calib,n_aug_calib,n_test,n_classes,coverage,avg_set_size,singleton_rate,singleton_accuracy,empty_rate,top1_accuracy,ece
GunPoint,0,gap,0.2,0.05,clean_split_cp,fcn,3,32,18,180,150,2,0.9866666666666667,1.9866666666666666,0.013333333333333334,0.0,0.0,0.5066666666666667,0.1043374872207642
GunPoint,0,gap,0.2,0.05,aug_split_cp,fcn,3,32,18,180,150,2,0.9866666666666667,1.9866666666666666,0.013333333333333334,0.0,0.0,0.5066666666666667,0.1043374872207642
GunPoint,0,gap,0.2,0.05,fast_cp_mixed_confidence_only,fcn,3,32,18,180,150,2,0.9866666666666667,1.9866666666666666,0.013333333333333334,0.0,0.0,0.5066666666666667,0.1043374872207642
GunPoint,0,gap,0.2,0.05,fast_cp_mixed,fcn,3,32,18,180,150,2,0.9866666666666667,1.96,0.04,0.6666666666666666,0.0,0.5066666666666667,0.1043374872207642
GunPoint,0,noise,0.05,0.05,clean_split_cp,fcn,3,32,18,180,150,2,0.9733333333333334,1.9733333333333334,0.02666666666666667,0.0,0.0,0.5066666666666667,0.1129389119148255
GunPoint,0,noise,0.05,0.05,aug_split_cp,fcn,3,32,18,180,150,2,0.9733333333333334,1.9733333333333334,0.02666666666666667,0.0,0.0,0.5066666666666667,0.1129389119148255
GunPoint,0,noise,0.05,0.05,fast_cp_mixed_confidence_only,fcn,3,32,18,180,150,2,0.9733333333333334,1.9733333333333334,0.02666666666666667,0.0,0.0,0.5066666666666667,0.1129389119148255
GunPoint,0,noise,0.05,0.05,fast_cp_mixed,fcn,3,32,18,180,150,2,0.9733333333333334,1.94,0.06,0.5555555555555556,0.0,0.5066666666666667,0.1129389119148255
GunPoint,0,noise,0.1,0.05,clean_split_cp,fcn,3,32,18,180,150,2,0.98,1.98,0.02,0.0,0.0,0.5066666666666667,0.11274001161257427
GunPoint,0,noise,0.1,0.05,aug_split_cp,fcn,3,32,18,180,150,2,0.98,1.9733333333333334,0.02666666666666667,0.25,0.0,0.5066666666666667,0.11274001161257427
GunPoint,0,noise,0.1,0.05,fast_cp_mixed_confidence_only,fcn,3,32,18,180,150,2,0.98,1.9733333333333334,0.02666666666666667,0.25,0.0,0.5066666666666667,0.11274001161257427
GunPoint,0,noise,0.1,0.05,fast_cp_mixed,fcn,3,32,18,180,150,2,0.98,1.9333333333333333,0.06666666666666667,0.7,0.0,0.5066666666666667,0.11274001161257427
GunPoint,0,noise,0.2,0.05,clean_split_cp,fcn,3,32,18,180,150,2,0.9933333333333333,1.9733333333333334,0.02666666666666667,0.75,0.0,0.5066666666666667,0.11228161493937179
GunPoint,0,noise,0.2,0.05,aug_split_cp,fcn,3,32,18,180,150,2,0.9933333333333333,1.96,0.04,0.8333333333333334,0.0,0.5066666666666667,0.11228161493937179
GunPoint,0,noise,0.2,0.05,fast_cp_mixed_confidence_only,fcn,3,32,18,180,150,2,0.9933333333333333,1.9733333333333334,0.02666666666666667,0.75,0.0,0.5066666666666667,0.11228161493937179
GunPoint,0,noise,0.2,0.05,fast_cp_mixed,fcn,3,32,18,180,150,2,0.9933333333333333,1.9466666666666668,0.05333333333333334,0.875,0.0,0.5066666666666667,0.11228161493937179
GunPoint,0,drift,0.1,0.05,clean_split_cp,fcn,3,32,18,180,150,2,0.9666666666666667,1.9666666666666666,0.03333333333333333,0.0,0.0,0.5066666666666667,0.11272286256154383
GunPoint,0,drift,0.1,0.05,aug_split_cp,fcn,3,32,18,180,150,2,0.9666666666666667,1.9666666666666666,0.03333333333333333,0.0,0.0,0.5066666666666667,0.11272286256154383
GunPoint,0,drift,0.1,0.05,fast_cp_mixed_confidence_only,fcn,3,32,18,180,150,2,0.9666666666666667,1.9666666666666666,0.03333333333333333,0.0,0.0,0.5066666666666667,0.11272286256154383
GunPoint,0,drift,0.1,0.05,fast_cp_mixed,fcn,3,32,18,180,150,2,0.9666666666666667,1.92,0.08,0.5833333333333334,0.0,0.5066666666666667,0.11272286256154383
GunPoint,0,drift,0.2,0.05,clean_split_cp,fcn,3,32,18,180,150,2,0.9933333333333333,1.9933333333333334,0.006666666666666667,0.0,0.0,0.5066666666666667,0.11210150957107548
GunPoint,0,drift,0.2,0.05,aug_split_cp,fcn,3,32,18,180,150,2,0.9933333333333333,1.9933333333333334,0.006666666666666667,0.0,0.0,0.5066666666666667,0.11210150957107548
GunPoint,0,drift,0.2,0.05,fast_cp_mixed_confidence_only,fcn,3,32,18,180,150,2,0.9933333333333333,1.9933333333333334,0.006666666666666667,0.0,0.0,0.5066666666666667,0.11210150957107548
GunPoint,0,drift,0.2,0.05,fast_cp_mixed,fcn,3,32,18,180,150,2,0.9933333333333333,1.9733333333333334,0.02666666666666667,0.75,0.0,0.5066666666666667,0.11210150957107548
GunPoint,0,drift,0.4,0.05,clean_split_cp,fcn,3,32,18,180,150,2,0.9933333333333333,1.9933333333333334,0.006666666666666667,0.0,0.0,0.5066666666666667,0.10970565398534143
GunPoint,0,drift,0.4,0.05,aug_split_cp,fcn,3,32,18,180,150,2,0.9866666666666667,1.9866666666666666,0.013333333333333334,0.0,0.0,0.5066666666666667,0.10970565398534143
GunPoint,0,drift,0.4,0.05,fast_cp_mixed_confidence_only,fcn,3,32,18,180,150,2,0.9866666666666667,1.9866666666666666,0.013333333333333334,0.0,0.0,0.5066666666666667,0.10970565398534143
GunPoint,0,drift,0.4,0.05,fast_cp_mixed,fcn,3,32,18,180,150,2,0.9866666666666667,1.9866666666666666,0.013333333333333334,0.0,0.0,0.5066666666666667,0.10970565398534143
