dataset,seed,corruption,severity,alpha,method,n_train,n_calib,n_aug_calib,n_test,n_classes,coverage,avg_set_size,singleton_rate,singleton_accuracy,empty_rate,top1_accuracy,ece
GunPoint,0,gap,0.1,0.05,label_smooth_aug_cp,32,18,126,150,2,1.0,1.6466666666666667,0.35333333333333333,1.0,0.0,0.86,0.061684941157546525
GunPoint,0,gap,0.1,0.05,confidence_weighted_cp,32,18,126,150,2,1.0,1.6466666666666667,0.35333333333333333,1.0,0.0,0.86,0.061684941157546525
GunPoint,0,gap,0.1,0.05,fast_cp,32,18,126,150,2,1.0,1.5066666666666666,0.49333333333333335,1.0,0.0,0.86,0.061684941157546525
GunPoint,0,gap,0.1,0.05,fast_cp_mixed,32,18,126,150,2,1.0,1.5533333333333332,0.44666666666666666,1.0,0.0,0.86,0.061684941157546525
GunPoint,0,gap,0.1,0.05,fast_cp_mixed_input_only,32,18,126,150,2,1.0,1.52,0.48,1.0,0.0,0.86,0.061684941157546525
GunPoint,0,gap,0.1,0.05,fast_cp_mixed_no_confidence,32,18,126,150,2,1.0,1.52,0.48,1.0,0.0,0.86,0.061684941157546525
GunPoint,0,gap,0.1,0.05,fast_cp_mixed_no_spectral,32,18,126,150,2,1.0,1.5533333333333332,0.44666666666666666,1.0,0.0,0.86,0.061684941157546525
GunPoint,0,gap,0.2,0.05,clean_split_cp,32,18,126,150,2,0.98,1.6266666666666667,0.37333333333333335,0.9464285714285714,0.0,0.8133333333333334,0.0618711398697964
GunPoint,0,gap,0.2,0.05,aug_split_cp,32,18,126,150,2,0.9666666666666667,1.5733333333333333,0.4266666666666667,0.921875,0.0,0.8133333333333334,0.0618711398697964
GunPoint,0,gap,0.2,0.05,aps_aug_cp,32,18,126,150,2,1.0,2.0,0.0,0.0,0.0,0.8133333333333334,0.0618711398697964
GunPoint,0,gap,0.2,0.05,raps_aug_cp,32,18,126,150,2,1.0,2.0,0.0,0.0,0.0,0.8133333333333334,0.0618711398697964
GunPoint,0,gap,0.2,0.05,mondrian_corruption_cp,32,18,126,150,2,0.96,1.4533333333333334,0.5466666666666666,0.926829268292683,0.0,0.8133333333333334,0.0618711398697964
GunPoint,0,gap,0.2,0.05,label_smooth_aug_cp,32,18,126,150,2,0.9666666666666667,1.5733333333333333,0.4266666666666667,0.921875,0.0,0.8133333333333334,0.0618711398697964
GunPoint,0,gap,0.2,0.05,confidence_weighted_cp,32,18,126,150,2,0.9666666666666667,1.5733333333333333,0.4266666666666667,0.921875,0.0,0.8133333333333334,0.0618711398697964
GunPoint,0,gap,0.2,0.05,fast_cp,32,18,126,150,2,0.9533333333333334,1.42,0.58,0.9195402298850575,0.0,0.8133333333333334,0.0618711398697964
GunPoint,0,gap,0.2,0.05,fast_cp_mixed,32,18,126,150,2,0.96,1.46,0.54,0.9259259259259259,0.0,0.8133333333333334,0.0618711398697964
GunPoint,0,gap,0.2,0.05,fast_cp_mixed_input_only,32,18,126,150,2,0.96,1.46,0.54,0.9259259259259259,0.0,0.8133333333333334,0.0618711398697964
GunPoint,0,gap,0.2,0.05,fast_cp_mixed_no_confidence,32,18,126,150,2,0.96,1.46,0.54,0.9259259259259259,0.0,0.8133333333333334,0.0618711398697964
GunPoint,0,gap,0.2,0.05,fast_cp_mixed_no_spectral,32,18,126,150,2,0.96,1.46,0.54,0.9259259259259259,0.0,0.8133333333333334,0.0618711398697964
GunPoint,0,noise,0.05,0.05,clean_split_cp,32,18,126,150,2,1.0,1.6533333333333333,0.3466666666666667,1.0,0.0,0.8733333333333333,0.05276953875233338
GunPoint,0,noise,0.05,0.05,aug_split_cp,32,18,126,150,2,1.0,1.6333333333333333,0.36666666666666664,1.0,0.0,0.8733333333333333,0.05276953875233338
GunPoint,0,noise,0.05,0.05,aps_aug_cp,32,18,126,150,2,1.0,2.0,0.0,0.0,0.0,0.8733333333333333,0.05276953875233338
GunPoint,0,noise,0.05,0.05,raps_aug_cp,32,18,126,150,2,1.0,2.0,0.0,0.0,0.0,0.8733333333333333,0.05276953875233338
GunPoint,0,noise,0.05,0.05,mondrian_corruption_cp,32,18,126,150,2,1.0,1.92,0.08,1.0,0.0,0.8733333333333333,0.05276953875233338
GunPoint,0,noise,0.05,0.05,label_smooth_aug_cp,32,18,126,150,2,1.0,1.6333333333333333,0.36666666666666664,1.0,0.0,0.8733333333333333,0.05276953875233338
GunPoint,0,noise,0.05,0.05,confidence_weighted_cp,32,18,126,150,2,1.0,1.6333333333333333,0.36666666666666664,1.0,0.0,0.8733333333333333,0.05276953875233338
GunPoint,0,noise,0.05,0.05,fast_cp,32,18,126,150,2,1.0,1.5133333333333334,0.4866666666666667,1.0,0.0,0.8733333333333333,0.05276953875233338
GunPoint,0,noise,0.05,0.05,fast_cp_mixed,32,18,126,150,2,1.0,1.5466666666666666,0.4533333333333333,1.0,0.0,0.8733333333333333,0.05276953875233338
GunPoint,0,noise,0.05,0.05,fast_cp_mixed_input_only,32,18,126,150,2,1.0,1.54,0.46,1.0,0.0,0.8733333333333333,0.05276953875233338
GunPoint,0,noise,0.05,0.05,fast_cp_mixed_no_confidence,32,18,126,150,2,1.0,1.54,0.46,1.0,0.0,0.8733333333333333,0.05276953875233338
GunPoint,0,noise,0.05,0.05,fast_cp_mixed_no_spectral,32,18,126,150,2,1.0,1.5466666666666666,0.4533333333333333,1.0,0.0,0.8733333333333333,0.05276953875233338
GunPoint,0,noise,0.1,0.05,clean_split_cp,32,18,126,150,2,0.9866666666666667,1.6666666666666667,0.3333333333333333,0.96,0.0,0.7666666666666667,0.09546372961489243
GunPoint,0,noise,0.1,0.05,aug_split_cp,32,18,126,150,2,0.98,1.6333333333333333,0.36666666666666664,0.9454545454545454,0.0,0.7666666666666667,0.09546372961489243
GunPoint,0,noise,0.1,0.05,aps_aug_cp,32,18,126,150,2,1.0,2.0,0.0,0.0,0.0,0.7666666666666667,0.09546372961489243
GunPoint,0,noise,0.1,0.05,raps_aug_cp,32,18,126,150,2,1.0,2.0,0.0,0.0,0.0,0.7666666666666667,0.09546372961489243
GunPoint,0,noise,0.1,0.05,mondrian_corruption_cp,32,18,126,150,2,1.0,1.9,0.1,1.0,0.0,0.7666666666666667,0.09546372961489243
GunPoint,0,noise,0.1,0.05,label_smooth_aug_cp,32,18,126,150,2,0.98,1.6333333333333333,0.36666666666666664,0.9454545454545454,0.0,0.7666666666666667,0.09546372961489243
GunPoint,0,noise,0.1,0.05,confidence_weighted_cp,32,18,126,150,2,0.98,1.6333333333333333,0.36666666666666664,0.9454545454545454,0.0,0.7666666666666667,0.09546372961489243
GunPoint,0,noise,0.1,0.05,fast_cp,32,18,126,150,2,0.96,1.5666666666666667,0.43333333333333335,0.9076923076923077,0.0,0.7666666666666667,0.09546372961489243
GunPoint,0,noise,0.1,0.05,fast_cp_mixed,32,18,126,150,2,0.9733333333333334,1.6066666666666667,0.3933333333333333,0.9322033898305084,0.0,0.7666666666666667,0.09546372961489243
GunPoint,0,noise,0.1,0.05,fast_cp_mixed_input_only,32,18,126,150,2,0.96,1.5733333333333333,0.4266666666666667,0.90625,0.0,0.7666666666666667,0.09546372961489243
GunPoint,0,noise,0.1,0.05,fast_cp_mixed_no_confidence,32,18,126,150,2,0.96,1.5733333333333333,0.4266666666666667,0.90625,0.0,0.7666666666666667,0.09546372961489243
GunPoint,0,noise,0.1,0.05,fast_cp_mixed_no_spectral,32,18,126,150,2,0.9733333333333334,1.6,0.4,0.9333333333333333,0.0,0.7666666666666667,0.09546372961489243
GunPoint,0,noise,0.2,0.05,clean_split_cp,32,18,126,150,2,0.8266666666666667,1.3733333333333333,0.6266666666666667,0.723404255319149,0.0,0.5266666666666666,0.4114076808438073
GunPoint,0,noise,0.2,0.05,aug_split_cp,32,18,126,150,2,0.7933333333333333,1.3266666666666667,0.6733333333333333,0.693069306930693,0.0,0.5266666666666666,0.4114076808438073
GunPoint,0,noise,0.2,0.05,aps_aug_cp,32,18,126,150,2,1.0,2.0,0.0,0.0,0.0,0.5266666666666666,0.4114076808438073
GunPoint,0,noise,0.2,0.05,raps_aug_cp,32,18,126,150,2,1.0,2.0,0.0,0.0,0.0,0.5266666666666666,0.4114076808438073
GunPoint,0,noise,0.2,0.05,mondrian_corruption_cp,32,18,126,150,2,0.9666666666666667,1.68,0.32,0.8958333333333334,0.0,0.5266666666666666,0.4114076808438073
GunPoint,0,noise,0.2,0.05,label_smooth_aug_cp,32,18,126,150,2,0.7933333333333333,1.3266666666666667,0.6733333333333333,0.693069306930693,0.0,0.5266666666666666,0.4114076808438073
GunPoint,0,noise,0.2,0.05,confidence_weighted_cp,32,18,126,150,2,0.7933333333333333,1.3266666666666667,0.6733333333333333,0.693069306930693,0.0,0.5266666666666666,0.4114076808438073
GunPoint,0,noise,0.2,0.05,fast_cp,32,18,126,150,2,0.8466666666666667,1.4,0.6,0.7444444444444445,0.0,0.5266666666666666,0.4114076808438073
GunPoint,0,noise,0.2,0.05,fast_cp_mixed,32,18,126,150,2,0.8333333333333334,1.38,0.62,0.7311827956989247,0.0,0.5266666666666666,0.4114076808438073
GunPoint,0,noise,0.2,0.05,fast_cp_mixed_input_only,32,18,126,150,2,0.84,1.3866666666666667,0.6133333333333333,0.7391304347826086,0.0,0.5266666666666666,0.4114076808438073
GunPoint,0,noise,0.2,0.05,fast_cp_mixed_no_confidence,32,18,126,150,2,0.84,1.3866666666666667,0.6133333333333333,0.7391304347826086,0.0,0.5266666666666666,0.4114076808438073
GunPoint,0,noise,0.2,0.05,fast_cp_mixed_no_spectral,32,18,126,150,2,0.8266666666666667,1.3733333333333333,0.6266666666666667,0.723404255319149,0.0,0.5266666666666666,0.4114076808438073
