dataset,seed,corruption,severity,alpha,method,repeats,extra_smoothing_sec,n_test,n_classes,coverage,avg_set_size,singleton_rate,singleton_accuracy,empty_rate,top1_accuracy,ece
GunPoint,0,drift,0.2,0.05,smoothing_proxy_cp,8,13.568710088729858,150,2,0.9733333333333334,1.2733333333333334,0.7266666666666667,0.963302752293578,0.0,0.8866666666666667,0.03333167710437754
GunPoint,0,drift,0.4,0.05,aug_split_cp,1,0.0,150,2,0.9466666666666667,1.2333333333333334,0.7666666666666667,0.9304347826086956,0.0,0.8733333333333333,0.0662913311156131
GunPoint,0,drift,0.4,0.05,fast_cp_mixed,1,0.0,150,2,0.9466666666666667,1.2333333333333334,0.7666666666666667,0.9304347826086956,0.0,0.8733333333333333,0.0662913311156131
GunPoint,0,drift,0.4,0.05,smoothing_proxy_cp,8,13.562326192855835,150,2,0.9466666666666667,1.2933333333333332,0.7066666666666667,0.9245283018867925,0.0,0.8533333333333334,0.08138878946461375
Coffee,0,gap,0.05,0.05,aug_split_cp,1,0.0,28,2,1.0,1.4642857142857142,0.5357142857142857,1.0,0.0,1.0,0.026871293454093864
Coffee,0,gap,0.05,0.05,fast_cp_mixed,1,0.0,28,2,1.0,1.0357142857142858,0.9642857142857143,1.0,0.0,1.0,0.026871293454093864
Coffee,0,gap,0.05,0.05,smoothing_proxy_cp,8,9.37251329421997,28,2,1.0,1.4642857142857142,0.5357142857142857,1.0,0.0,1.0,0.03808478409736626
Coffee,0,gap,0.1,0.05,aug_split_cp,1,0.0,28,2,1.0,1.4642857142857142,0.5357142857142857,1.0,0.0,0.9642857142857143,0.05079849842698926
Coffee,0,gap,0.1,0.05,fast_cp_mixed,1,0.0,28,2,1.0,1.0714285714285714,0.9285714285714286,1.0,0.0,0.9642857142857143,0.05079849842698926
Coffee,0,gap,0.1,0.05,smoothing_proxy_cp,8,9.354786396026611,28,2,1.0,1.5,0.5,1.0,0.0,0.9285714285714286,0.04880516622437236
Coffee,0,gap,0.2,0.05,aug_split_cp,1,0.0,28,2,0.9642857142857143,1.4642857142857142,0.5357142857142857,0.9333333333333333,0.0,0.8928571428571429,0.10800501449955986
Coffee,0,gap,0.2,0.05,fast_cp_mixed,1,0.0,28,2,1.0,1.2142857142857142,0.7857142857142857,1.0,0.0,0.8928571428571429,0.10800501449955986
Coffee,0,gap,0.2,0.05,smoothing_proxy_cp,8,9.375710248947144,28,2,0.9642857142857143,1.4642857142857142,0.5357142857142857,0.9333333333333333,0.0,0.8571428571428571,0.09277214027602652
Coffee,0,noise,0.05,0.05,aug_split_cp,1,0.0,28,2,1.0,1.5357142857142858,0.4642857142857143,1.0,0.0,1.0,0.022027049669241683
Coffee,0,noise,0.05,0.05,fast_cp_mixed,1,0.0,28,2,1.0,1.0,1.0,1.0,0.0,1.0,0.022027049669241683
Coffee,0,noise,0.05,0.05,smoothing_proxy_cp,8,9.37636923789978,28,2,1.0,1.5357142857142858,0.4642857142857143,1.0,0.0,1.0,0.04120634705496894
Coffee,0,noise,0.1,0.05,aug_split_cp,1,0.0,28,2,1.0,1.5,0.5,1.0,0.0,0.9642857142857143,0.09542399258546476
Coffee,0,noise,0.1,0.05,fast_cp_mixed,1,0.0,28,2,1.0,1.1428571428571428,0.8571428571428571,1.0,0.0,0.9642857142857143,0.09542399258546476
Coffee,0,noise,0.1,0.05,smoothing_proxy_cp,8,9.367672204971313,28,2,1.0,1.5357142857142858,0.4642857142857143,1.0,0.0,0.9285714285714286,0.07797788916157221
Coffee,0,noise,0.2,0.05,aug_split_cp,1,0.0,28,2,0.9285714285714286,1.4642857142857142,0.5357142857142857,0.8666666666666667,0.0,0.5357142857142857,0.3936213409610306
Coffee,0,noise,0.2,0.05,fast_cp_mixed,1,0.0,28,2,0.9285714285714286,1.4642857142857142,0.5357142857142857,0.8666666666666667,0.0,0.5357142857142857,0.3936213409610306
Coffee,0,noise,0.2,0.05,smoothing_proxy_cp,8,9.371973514556885,28,2,0.9285714285714286,1.4642857142857142,0.5357142857142857,0.8666666666666667,0.0,0.5357142857142857,0.35438447736823175
Coffee,0,drift,0.1,0.05,aug_split_cp,1,0.0,28,2,1.0,1.6071428571428572,0.39285714285714285,1.0,0.0,1.0,0.02167712419988762
Coffee,0,drift,0.1,0.05,fast_cp_mixed,1,0.0,28,2,1.0,1.0,1.0,1.0,0.0,1.0,0.02167712419988762
Coffee,0,drift,0.1,0.05,smoothing_proxy_cp,8,9.373529195785522,28,2,1.0,1.5714285714285714,0.42857142857142855,1.0,0.0,0.9642857142857143,0.046904851064604396
Coffee,0,drift,0.2,0.05,aug_split_cp,1,0.0,28,2,1.0,1.6071428571428572,0.39285714285714285,1.0,0.0,1.0,0.026974583215916725
Coffee,0,drift,0.2,0.05,fast_cp_mixed,1,0.0,28,2,1.0,1.0,1.0,1.0,0.0,1.0,0.026974583215916725
Coffee,0,drift,0.2,0.05,smoothing_proxy_cp,8,9.374544143676758,28,2,1.0,1.6071428571428572,0.39285714285714285,1.0,0.0,1.0,0.05771308371096566
Coffee,0,drift,0.4,0.05,aug_split_cp,1,0.0,28,2,1.0,1.4285714285714286,0.5714285714285714,1.0,0.0,0.75,0.1633023853603568
Coffee,0,drift,0.4,0.05,fast_cp_mixed,1,0.0,28,2,0.9642857142857143,1.25,0.75,0.9523809523809523,0.0,0.75,0.1633023853603568
Coffee,0,drift,0.4,0.05,smoothing_proxy_cp,8,9.391743421554565,28,2,1.0,1.5,0.5,1.0,0.0,0.7142857142857143,0.23628172710860323
