method,alpha,corruption,coverage,coverage_gap,abs_coverage_gap,avg_set_size,singleton_rate,top1_accuracy,ece
fast_cp_mixed_0,0.05,noise,0.9366311977419239,0.013368802258076122,0.04056721688513622,2.8348379417518474,0.3131946261950254,0.6350761332019771,0.23541815789627435
mondrian_corruption_cp,0.05,noise,0.9450536018520194,0.004946398147980608,0.04058157623681475,2.994720194127193,0.27719510282656534,0.6350761332019771,0.23541815789627435
raps_aug_cp,0.05,noise,0.9602051681761534,-0.010205168176153382,0.04378591296742447,3.1431176877553395,0.08598685075608152,0.6350761332019771,0.23541815789627435
aps_aug_cp,0.05,noise,0.9641040750622398,-0.01410407506223976,0.04656626134898741,3.8556268351531506,0.027717637288487473,0.6350761332019771,0.23541815789627435
confidence_weighted_cp,0.05,noise,0.9382425005306139,0.011757499469386194,0.05152955299665802,2.984336443818746,0.26476642579626897,0.6350761332019771,0.23541815789627435
fast_cp_mixed_0.1,0.05,noise,0.924862392479123,0.025137607520876844,0.05278355377171004,2.795598924372805,0.31570511386915484,0.6350761332019771,0.23541815789627435
fast_cp_mixed_0.2,0.05,noise,0.9239444998124475,0.026055500187552358,0.053913197349909285,2.7991012266436806,0.31447327555227916,0.6350761332019771,0.23541815789627435
fast_cp_mixed_0.35,0.05,noise,0.9242641472353267,0.025735852764673325,0.054046906435170725,2.80686837028403,0.311231555106719,0.6350761332019771,0.23541815789627435
fast_cp_mixed_0.65,0.05,noise,0.9259439461813097,0.02405605381869028,0.05442945591745021,2.831141411077614,0.30386379479263953,0.6350761332019771,0.23541815789627435
fast_cp_mixed_0.5,0.05,noise,0.9247754294017191,0.02522457059828089,0.054444297789590736,2.8174082476755515,0.3077077313621548,0.6350761332019771,0.23541815789627435
fast_cp_mixed_0.8,0.05,noise,0.9266354474865728,0.023364552513427218,0.05545374633966338,2.846743556552518,0.300021070633162,0.6350761332019771,0.23541815789627435
