method,alpha,corruption,coverage,coverage_gap,abs_coverage_gap,avg_set_size,singleton_rate,top1_accuracy,ece
label_smooth_aug_cp,0.05,gap,0.9437346121720898,0.00626538782791023,0.050624302814168985,2.415586459058836,0.32458384088989733,0.7264769281609551,0.1762743886445531
fast_cp,0.05,gap,0.935311204899292,0.014688795100707988,0.050625544455761895,2.309854219440869,0.3875592283190536,0.7264769281609551,0.1762743886445531
fast_cp_mixed_no_missing,0.05,gap,0.9369319457035542,0.013068054296445778,0.051150182039629614,2.312475159561651,0.383536746584714,0.7264769281609551,0.1762743886445531
fast_cp_mixed_no_confidence,0.05,gap,0.9322325502339353,0.01776744976606471,0.05201332386455042,2.283328324651608,0.39427203845695197,0.7264769281609551,0.1762743886445531
clean_split_cp,0.05,gap,0.8795683040947558,0.07043169590524415,0.08911260030136099,1.923723373710805,0.5007815110219404,0.7264769281609551,0.1762743886445531
raps_aug_cp,0.05,noise,0.9743372317748762,-0.02433723177487632,0.042085485511806756,2.742958014124525,0.07128554903315731,0.6846476719621803,0.22530763325099823
mondrian_corruption_cp,0.05,noise,0.9572821326214302,-0.007282132621430323,0.04271330162164427,2.4490407129509855,0.31340224382472986,0.6846476719621803,0.22530763325099823
aps_aug_cp,0.05,noise,0.9774514659434644,-0.027451465943464495,0.042993983990526514,3.301375140182242,0.048743636781613794,0.6846476719621803,0.22530763325099823
fast_cp,0.05,noise,0.9450027162019099,0.004997283798090011,0.04386187069062679,2.3238922598095164,0.37552634200973756,0.6846476719621803,0.22530763325099823
fast_cp_mixed_no_missing,0.05,noise,0.9416027298711993,0.008397270128800607,0.04893346246236309,2.337019897028074,0.38106778952450915,0.6846476719621803,0.22530763325099823
fast_cp_mixed_no_drift,0.05,noise,0.9401902791339273,0.00980972086607264,0.04930555662626984,2.3234612478208283,0.38041382555615183,0.6846476719621803,0.22530763325099823
fast_cp_mixed,0.05,noise,0.9396889406077188,0.010311059392281195,0.04989812198059862,2.320786000843653,0.3819272123215426,0.6846476719621803,0.22530763325099823
fast_cp_mixed_no_spectral,0.05,noise,0.9395988506785284,0.010401149321471476,0.04996181341962013,2.3159067699144393,0.38284141440159497,0.6846476719621803,0.22530763325099823
confidence_weighted_cp,0.05,noise,0.9403510005595518,0.009648999440448098,0.0504445434582498,2.406138242249838,0.34179514928642457,0.6846476719621803,0.22530763325099823
fast_cp_mixed_no_confidence,0.05,noise,0.9346641604989889,0.015335839501011087,0.05113391240120976,2.284760943419048,0.39138037650365176,0.6846476719621803,0.22530763325099823
aug_split_cp,0.05,noise,0.9416122337396594,0.008387766260340527,0.05300312828259426,2.400156901374307,0.35000660680306667,0.6846476719621803,0.22530763325099823
label_smooth_aug_cp,0.05,noise,0.9416122337396594,0.008387766260340527,0.05300312828259426,2.400156901374307,0.35000660680306667,0.6846476719621803,0.22530763325099823
clean_split_cp,0.05,noise,0.8371975811034158,0.1128024188965842,0.1348525980805602,1.9312131162272423,0.5130339925129787,0.6846476719621803,0.22530763325099823
