dataset,seed,corruption,severity,alpha,method,n_train,n_calib,n_aug_calib,n_test,n_channels,series_length,n_classes,coverage,avg_set_size,singleton_rate,singleton_accuracy,empty_rate,top1_accuracy,ece
BasicMotions,2,noise,0.05,0.05,fast_cp_mixed_random_fingerprint,26,14,140,40,6,100,4,1.0,1.05,0.95,1.0,0.0,1.0,0.10193909680404006
BasicMotions,2,noise,0.05,0.05,fast_cp_mixed,26,14,140,40,6,100,4,1.0,1.05,0.95,1.0,0.0,1.0,0.10193909680404006
BasicMotions,2,noise,0.1,0.05,clean_split_cp,26,14,140,40,6,100,4,1.0,1.025,0.975,1.0,0.0,1.0,0.10044783550131339
BasicMotions,2,noise,0.1,0.05,aug_split_cp,26,14,140,40,6,100,4,1.0,1.05,0.95,1.0,0.0,1.0,0.10044783550131339
BasicMotions,2,noise,0.1,0.05,fast_cp_mixed_input_only,26,14,140,40,6,100,4,1.0,1.05,0.95,1.0,0.0,1.0,0.10044783550131339
BasicMotions,2,noise,0.1,0.05,fast_cp_mixed_confidence_only,26,14,140,40,6,100,4,1.0,1.05,0.95,1.0,0.0,1.0,0.10044783550131339
BasicMotions,2,noise,0.1,0.05,fast_cp_mixed_random_fingerprint,26,14,140,40,6,100,4,1.0,1.05,0.95,1.0,0.0,1.0,0.10044783550131339
BasicMotions,2,noise,0.1,0.05,fast_cp_mixed,26,14,140,40,6,100,4,1.0,1.05,0.95,1.0,0.0,1.0,0.10044783550131339
BasicMotions,2,noise,0.2,0.05,clean_split_cp,26,14,140,40,6,100,4,1.0,1.025,0.975,1.0,0.0,0.975,0.10887972153292452
BasicMotions,2,noise,0.2,0.05,aug_split_cp,26,14,140,40,6,100,4,1.0,1.025,0.975,1.0,0.0,0.975,0.10887972153292452
BasicMotions,2,noise,0.2,0.05,fast_cp_mixed_input_only,26,14,140,40,6,100,4,1.0,1.025,0.975,1.0,0.0,0.975,0.10887972153292452
BasicMotions,2,noise,0.2,0.05,fast_cp_mixed_confidence_only,26,14,140,40,6,100,4,1.0,1.05,0.95,1.0,0.0,0.975,0.10887972153292452
BasicMotions,2,noise,0.2,0.05,fast_cp_mixed_random_fingerprint,26,14,140,40,6,100,4,1.0,1.025,0.975,1.0,0.0,0.975,0.10887972153292452
BasicMotions,2,noise,0.2,0.05,fast_cp_mixed,26,14,140,40,6,100,4,1.0,1.025,0.975,1.0,0.0,0.975,0.10887972153292452
BasicMotions,2,drift,0.1,0.05,clean_split_cp,26,14,140,40,6,100,4,1.0,1.025,0.975,1.0,0.0,1.0,0.09385697959183671
BasicMotions,2,drift,0.1,0.05,aug_split_cp,26,14,140,40,6,100,4,1.0,1.025,0.975,1.0,0.0,1.0,0.09385697959183671
BasicMotions,2,drift,0.1,0.05,fast_cp_mixed_input_only,26,14,140,40,6,100,4,1.0,1.025,0.975,1.0,0.0,1.0,0.09385697959183671
BasicMotions,2,drift,0.1,0.05,fast_cp_mixed_confidence_only,26,14,140,40,6,100,4,1.0,1.05,0.95,1.0,0.0,1.0,0.09385697959183671
BasicMotions,2,drift,0.1,0.05,fast_cp_mixed_random_fingerprint,26,14,140,40,6,100,4,1.0,1.025,0.975,1.0,0.0,1.0,0.09385697959183671
BasicMotions,2,drift,0.1,0.05,fast_cp_mixed,26,14,140,40,6,100,4,1.0,1.025,0.975,1.0,0.0,1.0,0.09385697959183671
BasicMotions,2,drift,0.2,0.05,clean_split_cp,26,14,140,40,6,100,4,0.975,1.0,1.0,0.975,0.0,0.975,0.08932817854710004
BasicMotions,2,drift,0.2,0.05,aug_split_cp,26,14,140,40,6,100,4,1.0,1.025,0.975,1.0,0.0,0.975,0.08932817854710004
BasicMotions,2,drift,0.2,0.05,fast_cp_mixed_input_only,26,14,140,40,6,100,4,1.0,1.025,0.975,1.0,0.0,0.975,0.08932817854710004
BasicMotions,2,drift,0.2,0.05,fast_cp_mixed_confidence_only,26,14,140,40,6,100,4,1.0,1.05,0.95,1.0,0.0,0.975,0.08932817854710004
BasicMotions,2,drift,0.2,0.05,fast_cp_mixed_random_fingerprint,26,14,140,40,6,100,4,0.975,1.0,1.0,0.975,0.0,0.975,0.08932817854710004
BasicMotions,2,drift,0.2,0.05,fast_cp_mixed,26,14,140,40,6,100,4,1.0,1.025,0.975,1.0,0.0,0.975,0.08932817854710004
BasicMotions,2,drift,0.4,0.05,clean_split_cp,26,14,140,40,6,100,4,1.0,1.025,0.975,1.0,0.0,1.0,0.09053225497471895
BasicMotions,2,drift,0.4,0.05,aug_split_cp,26,14,140,40,6,100,4,1.0,1.05,0.95,1.0,0.0,1.0,0.09053225497471895
BasicMotions,2,drift,0.4,0.05,fast_cp_mixed_input_only,26,14,140,40,6,100,4,1.0,1.05,0.95,1.0,0.0,1.0,0.09053225497471895
BasicMotions,2,drift,0.4,0.05,fast_cp_mixed_confidence_only,26,14,140,40,6,100,4,1.0,1.05,0.95,1.0,0.0,1.0,0.09053225497471895
BasicMotions,2,drift,0.4,0.05,fast_cp_mixed_random_fingerprint,26,14,140,40,6,100,4,1.0,1.025,0.975,1.0,0.0,1.0,0.09053225497471895
BasicMotions,2,drift,0.4,0.05,fast_cp_mixed,26,14,140,40,6,100,4,1.0,1.05,0.95,1.0,0.0,1.0,0.09053225497471895
Epilepsy,0,gap,0.05,0.05,clean_split_cp,89,48,480,138,3,206,4,0.927536231884058,1.4927536231884058,0.6014492753623188,0.9518072289156626,0.0,0.855072463768116,0.03694716612619197
Epilepsy,0,gap,0.05,0.05,aug_split_cp,89,48,480,138,3,206,4,0.9130434782608695,1.3695652173913044,0.6811594202898551,0.9468085106382979,0.0,0.855072463768116,0.03694716612619197
Epilepsy,0,gap,0.05,0.05,fast_cp_mixed_input_only,89,48,480,138,3,206,4,0.9130434782608695,1.3695652173913044,0.6811594202898551,0.9468085106382979,0.0,0.855072463768116,0.03694716612619197
