dataset,seed,corruption,severity,alpha,method,n_train,n_calib,n_aug_calib,n_test,n_classes,coverage,avg_set_size,singleton_rate,singleton_accuracy,empty_rate,top1_accuracy,ece
GunPoint,0,noise,0.05,0.05,fast_cp,32,18,126,150,2,0.9466666666666667,1.4466666666666668,0.5533333333333333,0.9036144578313253,0.0,0.7466666666666667,0.10519465729921527
GunPoint,0,noise,0.05,0.05,fast_cp_mixed_0.35,32,18,126,150,2,0.9466666666666667,1.44,0.56,0.9047619047619048,0.0,0.7466666666666667,0.10519465729921527
GunPoint,0,noise,0.05,0.05,fast_cp_mixed_1,32,18,126,150,2,0.9466666666666667,1.4333333333333333,0.5666666666666667,0.9058823529411765,0.0,0.7466666666666667,0.10519465729921527
GunPoint,0,noise,0.1,0.05,clean_split_cp,32,18,126,150,2,0.4866666666666667,0.5133333333333333,0.5133333333333333,0.948051948051948,0.4866666666666667,0.7266666666666667,0.1267825784302059
GunPoint,0,noise,0.1,0.05,aug_split_cp,32,18,126,150,2,0.9533333333333334,1.46,0.54,0.9135802469135802,0.0,0.7266666666666667,0.1267825784302059
GunPoint,0,noise,0.1,0.05,aps_aug_cp,32,18,126,150,2,1.0,1.9933333333333334,0.006666666666666667,1.0,0.0,0.7266666666666667,0.1267825784302059
GunPoint,0,noise,0.1,0.05,raps_aug_cp,32,18,126,150,2,1.0,1.9933333333333334,0.006666666666666667,1.0,0.0,0.7266666666666667,0.1267825784302059
GunPoint,0,noise,0.1,0.05,mondrian_corruption_cp,32,18,126,150,2,1.0,1.6066666666666667,0.3933333333333333,1.0,0.0,0.7266666666666667,0.1267825784302059
GunPoint,0,noise,0.1,0.05,label_smooth_aug_cp,32,18,126,150,2,0.9533333333333334,1.46,0.54,0.9135802469135802,0.0,0.7266666666666667,0.1267825784302059
GunPoint,0,noise,0.1,0.05,confidence_weighted_cp,32,18,126,150,2,0.9733333333333334,1.48,0.52,0.9487179487179487,0.0,0.7266666666666667,0.1267825784302059
GunPoint,0,noise,0.1,0.05,fast_cp,32,18,126,150,2,0.9533333333333334,1.46,0.54,0.9135802469135802,0.0,0.7266666666666667,0.1267825784302059
GunPoint,0,noise,0.1,0.05,fast_cp_mixed_0.35,32,18,126,150,2,0.9533333333333334,1.46,0.54,0.9135802469135802,0.0,0.7266666666666667,0.1267825784302059
GunPoint,0,noise,0.1,0.05,fast_cp_mixed_1,32,18,126,150,2,0.9533333333333334,1.46,0.54,0.9135802469135802,0.0,0.7266666666666667,0.1267825784302059
GunPoint,0,noise,0.2,0.05,clean_split_cp,32,18,126,150,2,0.4,0.44666666666666666,0.44666666666666666,0.8955223880597015,0.5533333333333333,0.7,0.15454769481077024
GunPoint,0,noise,0.2,0.05,aug_split_cp,32,18,126,150,2,0.9333333333333333,1.5066666666666666,0.49333333333333335,0.8648648648648649,0.0,0.7,0.15454769481077024
GunPoint,0,noise,0.2,0.05,aps_aug_cp,32,18,126,150,2,1.0,2.0,0.0,0.0,0.0,0.7,0.15454769481077024
GunPoint,0,noise,0.2,0.05,raps_aug_cp,32,18,126,150,2,1.0,2.0,0.0,0.0,0.0,0.7,0.15454769481077024
GunPoint,0,noise,0.2,0.05,mondrian_corruption_cp,32,18,126,150,2,1.0,1.9133333333333333,0.08666666666666667,1.0,0.0,0.7,0.15454769481077024
GunPoint,0,noise,0.2,0.05,label_smooth_aug_cp,32,18,126,150,2,0.9333333333333333,1.5066666666666666,0.49333333333333335,0.8648648648648649,0.0,0.7,0.15454769481077024
GunPoint,0,noise,0.2,0.05,confidence_weighted_cp,32,18,126,150,2,0.94,1.54,0.46,0.8695652173913043,0.0,0.7,0.15454769481077024
GunPoint,0,noise,0.2,0.05,fast_cp,32,18,126,150,2,0.9333333333333333,1.5133333333333334,0.4866666666666667,0.863013698630137,0.0,0.7,0.15454769481077024
GunPoint,0,noise,0.2,0.05,fast_cp_mixed_0.35,32,18,126,150,2,0.9333333333333333,1.5066666666666666,0.49333333333333335,0.8648648648648649,0.0,0.7,0.15454769481077024
GunPoint,0,noise,0.2,0.05,fast_cp_mixed_1,32,18,126,150,2,0.9333333333333333,1.5066666666666666,0.49333333333333335,0.8648648648648649,0.0,0.7,0.15454769481077024
